id,carat,cut,color,clarity,depth,table,x,y,z,price
124939,0.31,Very Good,H,SI1,61.7,55.0,4.35,4.38,2.7,463
54288,0.31,Ideal,F,IF,62.1,54.0,4.33,4.36,2.7,914
36023,0.55,Ideal,H,VS2,61.5,56.0,5.27,5.29,3.25,1388
173154,0.43,Premium,E,VS2,61.6,58.0,4.85,4.8,2.97,1038
60506,0.4,Premium,D,VS2,61.4,58.0,4.7,4.73,2.9,967
112016,1.52,Very Good,H,SI2,62.2,58.0,7.3,7.37,4.56,8203
47342,0.33,Premium,G,VVS1,60.5,59.0,4.48,4.45,2.7,1114
101564,1.56,Ideal,F,SI1,62.7,56.0,7.35,7.31,4.59,12342
149985,0.3,Premium,F,VS2,62.1,58.0,4.28,4.3,2.66,605
15105,2.01,Premium,G,SI2,60.9,60.0,8.12,8.16,4.96,17024
121869,0.32,Ideal,H,VS1,61.8,57.0,4.34,4.36,2.69,561
79946,0.33,Very Good,I,VS1,62.8,58.0,4.38,4.41,2.76,521
59615,0.42,Ideal,F,VS1,61.2,56.0,4.79,4.84,2.95,910
43118,0.81,Ideal,E,SI1,61.3,55.0,6.05,6.01,3.7,3738
83220,0.31,Premium,G,SI2,61.9,59.0,4.32,4.29,2.66,523
179167,0.5,Premium,D,SI2,62.2,58.0,5.04,5.01,3.13,1263
186263,0.7,Premium,F,VS1,60.6,59.0,5.75,5.72,3.48,3053
12018,0.54,Very Good,G,VS2,62.9,57.0,5.16,5.19,3.25,1637
173947,0.34,Ideal,E,SI1,61.6,56.0,4.48,4.51,2.77,596
87777,0.7,Ideal,E,SI1,61.9,56.0,5.66,5.75,3.53,3384
12685,0.41,Ideal,H,SI1,61.9,55.0,4.81,4.77,2.96,876
104365,0.32,Very Good,G,VS2,63.5,54.0,4.37,4.38,2.78,672
11399,0.41,Ideal,D,SI1,60.8,57.0,4.77,4.79,2.91,1015
54112,1.02,Ideal,H,SI2,60.9,58.0,6.5,6.55,3.98,4331
44191,0.9,Ideal,D,VS1,61.6,56.0,6.19,6.17,3.81,4824
152775,0.41,Ideal,H,VS1,61.8,55.0,4.76,4.79,2.95,827
193441,0.71,Very Good,G,SI2,62.9,58.0,5.68,5.72,3.58,2081
168482,0.3,Ideal,G,VVS1,61.3,57.0,4.32,4.3,2.64,1013
118177,0.41,Ideal,I,VVS1,61.1,58.0,4.79,4.82,2.94,879
122547,1.0,Premium,E,VS2,61.3,59.0,6.4,6.46,3.94,4816
60784,0.91,Ideal,E,SI1,62.5,55.0,6.14,6.19,3.85,3763
38655,0.71,Very Good,H,VVS1,62.1,56.0,5.68,5.73,3.54,3061
99821,0.54,Ideal,G,VVS2,61.4,56.0,5.25,5.27,3.23,1948
143043,0.9,Very Good,E,SI2,63.1,58.0,6.13,6.12,3.86,3380
14538,0.71,Premium,F,SI1,59.3,58.0,5.8,5.85,3.45,2163
128357,0.4,Premium,J,VS1,59.2,59.0,4.75,4.77,2.82,727
176232,1.7,Very Good,G,VVS2,62.8,58.0,7.59,7.64,4.78,17784
67916,0.54,Very Good,F,VS2,60.2,57.0,5.32,5.36,3.2,1596
1236,0.7,Very Good,G,VS1,63.2,56.0,5.68,5.64,3.58,2520
172413,1.04,Premium,G,VS2,60.3,59.0,6.56,6.53,3.95,6121
127240,1.52,Premium,G,VS2,61.7,59.0,7.36,7.4,4.55,12587
28725,0.3,Ideal,E,VS2,61.8,56.0,4.31,4.3,2.66,658
164411,1.25,Premium,H,SI2,60.0,58.0,7.04,6.97,4.2,5988
136476,1.03,Ideal,H,SI2,60.8,57.0,6.47,6.53,3.95,4323
40533,1.02,Very Good,G,VS2,63.5,58.0,6.34,6.39,4.05,6216
101345,1.23,Premium,F,VS2,59.3,58.0,7.04,6.99,4.14,8858
9133,1.21,Premium,F,VS1,60.7,58.0,6.9,6.85,4.17,9980
41835,0.5,Premium,E,VS2,62.4,60.0,5.07,5.03,3.15,1746
88898,0.78,Ideal,H,VS2,61.2,56.0,5.91,5.97,3.64,3183
63184,0.42,Ideal,G,VS2,62.4,56.0,4.8,4.77,2.99,1087
144289,0.5,Very Good,D,SI1,62.9,57.0,5.04,5.05,3.18,1441
189477,0.32,Ideal,D,SI1,62.0,57.0,4.37,4.39,2.72,589
181402,0.73,Premium,E,VS2,61.4,58.0,5.73,5.78,3.53,2826
155525,0.32,Ideal,F,VVS2,61.4,56.0,4.44,4.42,2.72,1008
193370,1.07,Premium,F,VS2,62.7,58.0,6.51,6.43,4.05,7848
179376,1.05,Ideal,H,SI1,60.2,57.0,6.62,6.58,3.99,5144
161947,0.5,Ideal,D,SI2,62.9,57.0,5.07,5.03,3.17,980
108863,0.81,Ideal,F,VS2,61.8,57.0,5.97,6.05,3.71,3756
97753,1.04,Fair,H,SI1,64.6,58.0,6.34,6.31,4.09,4077
167564,0.76,Premium,G,VS2,61.6,60.0,5.83,5.86,3.62,3036
124438,1.52,Very Good,H,VS2,60.8,60.0,7.51,7.46,4.56,11088
98329,1.08,Ideal,F,SI1,62.7,57.0,6.49,6.52,4.08,5644
151074,0.72,Ideal,F,VS1,61.4,57.0,5.75,5.73,3.53,3343
17400,1.51,Ideal,J,SI1,61.8,56.0,7.36,7.3,4.52,7148
21734,1.08,Ideal,G,VS1,60.2,56.0,6.7,6.72,4.04,7367
51150,1.03,Premium,G,VS2,61.9,58.0,6.49,6.43,4.0,6133
